Treatment_Effect,P90,P95,P99,P100
-10.0,0.0,0.0,0.10999999999999999,0.09599999999999997
-5.0,0.0,0.0,0.619,0.63
-2.0,0.0,0.20899999999999996,0.899,0.899
-1.0,0.21099999999999997,0.7,0.9359999999999999,0.9359999999999999
-0.5,0.681,0.888,0.946,0.9410000000000001
0.0,0.053,0.046,0.046,0.058
0.5,0.696,0.869,0.958,0.948
1.0,0.18600000000000005,0.7150000000000001,0.9339999999999999,0.933
2.0,0.0,0.18400000000000005,0.895,0.895
5.0,0.0,0.0,0.656,0.653
10.0,0.0,0.0,0.11199999999999999,0.10699999999999998
